code,label,slug,restaurant_name,objectID,0
CAT_P03,Special occasion,premium,Humus x Hortense,78781,
CAT_P02,A moderate spend,mid-range,Origine,78638,
CAT_P03,Special occasion,premium,Stirwen,78710,
CAT_P03,Special occasion,premium,Odette en Ville,79104,
CAT_P02,A moderate spend,mid-range,Les Caprices d'Harmony,79265,
CAT_P02,A moderate spend,mid-range,Racines,78720,
CAT_P03,Special occasion,premium,La Buvette,78802,
CAT_P02,A moderate spend,mid-range,La Brouette,79091,
CAT_P02,A moderate spend,mid-range,Les Potes en Toque,78892,
CAT_P03,Special occasion,premium,Ricciocapriccio,78771,
CAT_P02,A moderate spend,mid-range,Fico,78629,
CAT_P02,A moderate spend,mid-range,Philema,78630,
CAT_P04,Spare no expense,luxury,Brugmann,79152,
CAT_P02,A moderate spend,mid-range,Old Boy,79068,
CAT_P03,Special occasion,premium,Toucan,78944,
CAT_P02,A moderate spend,mid-range,Maru,78779,
CAT_P03,Special occasion,premium,Toucan sur Mer,78896,
CAT_P03,Special occasion,premium,Isabelle Arpin,78832,
CAT_P03,Special occasion,premium,Kamo,78657,
CAT_P01,On a budget,affordable,Car Bon,79342,
CAT_P03,Special occasion,premium,Au Savoy,79251,
CAT_P03,Special occasion,premium,Amen,79105,
CAT_P04,Spare no expense,luxury,La Villa Emily,78772,
CAT_P02,A moderate spend,mid-range,Brasserie de l'Expo,79238,
CAT_P04,Spare no expense,luxury,Le Buone Maniere,78654,
CAT_P03,Special occasion,premium,Le Monde est Petit,79092,
CAT_P04,Spare no expense,luxury,La Villa in the Sky,78770,
CAT_P02,A moderate spend,mid-range,La Brasserie de la Gare,78884,
CAT_P03,Special occasion,premium,Osteria Romana,78879,
CAT_P03,Special occasion,premium,Les Caves d'Alex,79093,
CAT_P04,Spare no expense,luxury,La Truffe Noire,78714,
CAT_P03,Special occasion,premium,Nonbe Daigaku,78730,
CAT_P02,A moderate spend,mid-range,Le Brasero,78637,
CAT_P02,A moderate spend,mid-range,Brasserie de la Patinoire,78651,
CAT_P04,Spare no expense,luxury,Da Mimmo,79189,
CAT_P02,A moderate spend,mid-range,Le Coq en Pâte,79049,
CAT_P02,A moderate spend,mid-range,De Maurice à Olivier,79276,
CAT_P01,On a budget,affordable,Villa Singha,78926,
CAT_P02,A moderate spend,mid-range,Caffè Al Dente,78851,
CAT_P03,Special occasion,premium,Ivresse,79396,
CAT_P03,Special occasion,premium,'t Stoveke,78789,
CAT_P01,On a budget,affordable,Faraya,79111,
CAT_P03,Special occasion,premium,Sanzaru,78893,
CAT_P03,Special occasion,premium,Michel,79080,
CAT_P03,Special occasion,premium,Cinq,78883,
CAT_P02,A moderate spend,mid-range,Bottega Vannini,79340,
CAT_P02,A moderate spend,mid-range,Le Nénuphar,78708,
CAT_P03,Special occasion,premium,Brasserie Bijgaarden,78713,
CAT_P03,Special occasion,premium,Al Piccolo,79192,
CAT_P01,On a budget,affordable,Appel Thaï,78627,
CAT_P04,Spare no expense,luxury,La Villa Lorraine by Yves Mattagne,79431,
CAT_P03,Special occasion,premium,Le Gril aux herbes,78931,
CAT_P03,Special occasion,premium,Le Passage,79264,
CAT_P03,Special occasion,premium,Le Pigeon Noir,78799,
CAT_P02,A moderate spend,mid-range,Maza'j,78881,
CAT_P02,A moderate spend,mid-range,La Branche d'Olivier,79005,
CAT_P02,A moderate spend,mid-range,Station 3,79107,
CAT_P03,Special occasion,premium,Colonel,78854,
CAT_P02,A moderate spend,mid-range,Le Mucha,79102,
CAT_P03,Special occasion,premium,Le Coriandre,78965,
CAT_P04,Spare no expense,luxury,Le Chalet de la Forêt,78803,
CAT_P03,Special occasion,premium,Maxime Colin,78904,
CAT_P02,A moderate spend,mid-range,Monsieur V,79401,
CAT_P03,Special occasion,premium,Auberge Napoleon,78936,
CAT_P02,A moderate spend,mid-range,De Mayeur - Patrick Vandecasserie,79237,
CAT_P03,Special occasion,premium,Brasserie Julie,78734,
CAT_P02,A moderate spend,mid-range,Lammekeshoeve,78760,
CAT_P03,Special occasion,premium,Nesta,78971,
CAT_P03,Special occasion,premium,Clash,79334,
CAT_P02,A moderate spend,mid-range,Taste,78649,
CAT_P02,A moderate spend,mid-range,Yijiangnan,79072,
CAT_P02,A moderate spend,mid-range,Bistro R,79164,
CAT_P04,Spare no expense,luxury,Maison Alain Bianchin,79230,
CAT_P02,A moderate spend,mid-range,Tapa Ti,79297,
CAT_P02,A moderate spend,mid-range,Antonio Morreale,79369,
CAT_P02,A moderate spend,mid-range,Pino,79056,
CAT_P03,Special occasion,premium,Terborght,78842,
CAT_P03,Special occasion,premium,Green Room,79001,
CAT_P02,A moderate spend,mid-range,Chez Eddy,78933,
CAT_P03,Special occasion,premium,August,78891,
CAT_P01,On a budget,affordable,Ferment,79404,
CAT_P03,Special occasion,premium,Sir Kwinten,78679,
CAT_P02,A moderate spend,mid-range,Little Paris,78979,
CAT_P02,A moderate spend,mid-range,De Kaai,79417,
CAT_P02,A moderate spend,mid-range,La Cuisine du Côté Vert,79026,
CAT_P03,Special occasion,premium,Les Eleveurs,79162,
CAT_P03,Special occasion,premium,L'Opera,79029,
CAT_P02,A moderate spend,mid-range,a'Muze,78991,
CAT_P02,A moderate spend,mid-range,Felicità,79412,
CAT_P03,Special occasion,premium,'t Notenhof,79065,
CAT_P02,A moderate spend,mid-range,Brasserie du Lac,78958,
CAT_P02,A moderate spend,mid-range,L'Amandier,78844,
CAT_P03,Special occasion,premium,Atelier Noun,78830,
CAT_P02,A moderate spend,mid-range,Maïnoï,79051,
CAT_P03,Special occasion,premium,Philippe Meyers,78683,
CAT_P03,Special occasion,premium,La Table Benjamin Laborie,79397,
CAT_P03,Special occasion,premium,Auberge de la Roseraie,79151,
CAT_P02,A moderate spend,mid-range,Bistro Racine,78680,
CAT_P02,A moderate spend,mid-range,Mamy Louise,79252,
CAT_P03,Special occasion,premium,Silo's,78686,
CAT_P03,Special occasion,premium,Hostellerie De Biek,78766,
CAT_P03,Special occasion,premium,Controverse,79213,
CAT_P03,Special occasion,premium,LAM'EAU,78643,
CAT_P03,Special occasion,premium,Maison Marit,79149,
CAT_P02,A moderate spend,mid-range,Magma,79235,
CAT_P03,Special occasion,premium,Graspoort,79409,
CAT_P03,Special occasion,premium,'t Overhamme,78940,
CAT_P03,Special occasion,premium,La Ligne Rouge,79212,
CAT_P01,On a budget,affordable,Tero,79273,
CAT_P03,Special occasion,premium,The Chick,79423,
CAT_P02,A moderate spend,mid-range,Cosma,78869,
CAT_P03,Special occasion,premium,'t Sleutelgat,79226,
CAT_P03,Special occasion,premium,Spaans Dak,78793,
CAT_P04,Spare no expense,luxury,Couvert Couvert,79177,
CAT_P03,Special occasion,premium,Tinèlle,79291,
CAT_P03,Special occasion,premium,Arenberg,79223,
CAT_P04,Spare no expense,luxury,De Bakermat,78733,
CAT_P04,Spare no expense,luxury,Kelderman,78715,
CAT_P02,A moderate spend,mid-range,Borse van Amsterdam,78718,
CAT_P03,Special occasion,premium,Centpourcent,78765,
CAT_P02,A moderate spend,mid-range,Bibois,78890,
CAT_P02,A moderate spend,mid-range,De Vijfhoek,79331,
CAT_P03,Special occasion,premium,Un Altro Mondo,79287,
CAT_P02,A moderate spend,mid-range,Les Tilleuls,79338,
CAT_P03,Special occasion,premium,Apriori,78761,
CAT_P03,Special occasion,premium,Cum Laude,78951,
CAT_P03,Special occasion,premium,Café d'O,78929,
CAT_P03,Special occasion,premium,Convento Wijnbistro,79225,
CAT_P03,Special occasion,premium,d'Artagnan,78741,
CAT_P03,Special occasion,premium,Taste,79221,
CAT_P02,A moderate spend,mid-range,Le Resto des Halles,78980,
CAT_P03,Special occasion,premium,Bistro Tribunal,79171,
CAT_P02,A moderate spend,mid-range,Gastrobar Hop,79295,
CAT_P03,Special occasion,premium,Trente,78914,
CAT_P04,Spare no expense,luxury,EED,78791,
CAT_P02,A moderate spend,mid-range,Guzzi,79406,
CAT_P03,Special occasion,premium,Cul'eau,78656,
CAT_P02,A moderate spend,mid-range,Le 1460,79115,
CAT_P03,Special occasion,premium,Zappaz,79145,
CAT_P03,Special occasion,premium,Pacht 26,78764,
CAT_P03,Special occasion,premium,Zarza,79222,
CAT_P03,Special occasion,premium,Het land aan de Overkant,78996,
CAT_P04,Spare no expense,luxury,EssenCiel,79292,
CAT_P02,A moderate spend,mid-range,Fleems,79425,
CAT_P03,Special occasion,premium,Eyckerhof,78652,
CAT_P03,Special occasion,premium,Maison Belge,79174,
CAT_P03,Special occasion,premium,'t Truffeltje,78797,
CAT_P03,Special occasion,premium,Libertine,79362,
CAT_P02,A moderate spend,mid-range,Au milieu de nulle part,79253,
CAT_P02,A moderate spend,mid-range,Resto Wald,79197,
CAT_P02,A moderate spend,mid-range,Via Novi,79129,
CAT_P02,A moderate spend,mid-range,dis-moi où ?,78688,
CAT_P02,A moderate spend,mid-range,Biestro H-eat,79099,
CAT_P03,Special occasion,premium,Het Verschil,78993,
CAT_P02,A moderate spend,mid-range,Appelsveer,78997,
CAT_P04,Spare no expense,luxury,Nuance,78841,
CAT_P03,Special occasion,premium,L'Horizon,79144,
CAT_P03,Special occasion,premium,De Victorie,79067,
CAT_P03,Special occasion,premium,Vintage,79024,
CAT_P02,A moderate spend,mid-range,Chez Ginette,78938,
CAT_P03,Special occasion,premium,Wilford T,79131,
CAT_P03,Special occasion,premium,De Koolputten,79025,
CAT_P03,Special occasion,premium,Het Moment,79170,
CAT_P03,Special occasion,premium,Lizanna,79437,
CAT_P02,A moderate spend,mid-range,Elea Ouzeri,78691,
CAT_P03,Special occasion,premium,Fortuin,79405,
CAT_P03,Special occasion,premium,Alexandre,78805,
CAT_P03,Special occasion,premium,Fleur de Lin,78792,
CAT_P04,Spare no expense,luxury,Hofke van Bazel,78852,
CAT_P02,A moderate spend,mid-range,Trattoria Bazalia,79047,
CAT_P03,Special occasion,premium,Pur Boeuf,79074,
CAT_P03,Special occasion,premium,Lijsterbes,79143,
CAT_P02,A moderate spend,mid-range,Món,78758,
CAT_P02,A moderate spend,mid-range,il était une fois toi et moi,78875,
CAT_P03,Special occasion,premium,Le Pilori,79123,
CAT_P02,A moderate spend,mid-range,Zicht,79435,
CAT_P04,Spare no expense,luxury,Sense,79317,
CAT_P03,Special occasion,premium,Butcher's Dining,78692,
CAT_P03,Special occasion,premium,Salto,78955,
CAT_P04,Spare no expense,luxury,Stable,79333,
CAT_P03,Special occasion,premium,Numerus Clausus,78840,
CAT_P03,Special occasion,premium,Roosenberg,79069,
CAT_P03,Special occasion,premium,Jacqueline,79100,
CAT_P03,Special occasion,premium,De Ceder,78898,
CAT_P03,Special occasion,premium,lesco,79156,
CAT_P02,A moderate spend,mid-range,'t Pachthuis,79367,
CAT_P03,Special occasion,premium,Vos,78957,
CAT_P03,Special occasion,premium,Les Abris,79066,
CAT_P03,Special occasion,premium,Le Cirque,79048,
CAT_P03,Special occasion,premium,Atelier Gist,78667,
CAT_P03,Special occasion,premium,Decan,79365,
CAT_P02,A moderate spend,mid-range,L'Embellie,78751,
CAT_P03,Special occasion,premium,Kokovin,79110,
CAT_P03,Special occasion,premium,Hors-Champs,79344,
CAT_P03,Special occasion,premium,Nova,78677,
CAT_P03,Special occasion,premium,Au Gré du Vent,79007,
CAT_P03,Special occasion,premium,Den Silveren Harynck,79082,
CAT_P03,Special occasion,premium,Minerva,79300,
CAT_P03,Special occasion,premium,The Butcher's son,79161,
CAT_P03,Special occasion,premium,Chef's Table,78785,
CAT_P03,Special occasion,premium,Black Smoke,78916,
CAT_P03,Special occasion,premium,Le Bouchon et l'Assiette,78838,
CAT_P03,Special occasion,premium,August,79416,
CAT_P02,A moderate spend,mid-range,L'Entre D'Eux,78676,
CAT_P04,Spare no expense,luxury,The Jane,79217,
CAT_P02,A moderate spend,mid-range,Chez Louis,79044,
CAT_P03,Special occasion,premium,Nebo,79389,
CAT_P04,Spare no expense,luxury,Misera,79356,
CAT_P04,Spare no expense,luxury,Atelier Maple,79101,
CAT_P03,Special occasion,premium,Aux petits oignons,78773,
CAT_P03,Special occasion,premium,'t Korennaer,78762,
CAT_P02,A moderate spend,mid-range,Le Sixième,79313,
CAT_P03,Special occasion,premium,Les Années Folles,78918,
CAT_P04,Spare no expense,luxury,Dôme,79374,
CAT_P03,Special occasion,premium,Ferrier 30,79176,
CAT_P03,Special occasion,premium,Dôme Sur Mer,79219,
CAT_P02,A moderate spend,mid-range,Cuichine,79277,
CAT_P03,Special occasion,premium,Lewis,79402,
CAT_P01,On a budget,affordable,l'Amitié,79266,
CAT_P02,A moderate spend,mid-range,Ciro's,79261,
CAT_P03,Special occasion,premium,GLASS,79354,
CAT_P02,A moderate spend,mid-range,Visbistro Mojo,79036,
CAT_P03,Special occasion,premium,Maven,79321,
CAT_P02,A moderate spend,mid-range,Bún,79179,
CAT_P01,On a budget,affordable,5 Flavors Mmei,78843,
CAT_P03,Special occasion,premium,Kommilfoo,79173,
CAT_P02,A moderate spend,mid-range,Bizie Lizie,78745,
CAT_P03,Special occasion,premium,A'Sur,79085,
CAT_P03,Special occasion,premium,Hof Ter Hulst,78798,
CAT_P02,A moderate spend,mid-range,Signatuur,79281,
CAT_P03,Special occasion,premium,Under The Palm Trees,78870,
CAT_P02,A moderate spend,mid-range,Ko'uzi,79160,
CAT_P04,Spare no expense,luxury,1238,79390,
CAT_P03,Special occasion,premium,Bar Bulot at Botanic,79366,
CAT_P04,Spare no expense,luxury,Het Gebaar,78903,
CAT_P03,Special occasion,premium,Fine Fleur,79375,
CAT_P03,Special occasion,premium,Tafeltje Rond,78862,
CAT_P04,Spare no expense,luxury,Hertog Jan at Botanic,78819,
CAT_P04,Spare no expense,luxury,Le Pristine,78814,
CAT_P02,A moderate spend,mid-range,Glou Glou,79352,
CAT_P02,A moderate spend,mid-range,Blueness Antwerp,79421,
CAT_P03,Special occasion,premium,Graanmarkt 13,78723,
CAT_P02,A moderate spend,mid-range,VAS,79239,
CAT_P03,Special occasion,premium,Het Nieuwe Palinghuis,79121,
CAT_P04,Spare no expense,luxury,DIM Dining,79307,
CAT_P02,A moderate spend,mid-range,Le Mont-à-Gourmet,78639,
CAT_P03,Special occasion,premium,RAS,78813,
CAT_P04,Spare no expense,luxury,'t Fornuis,79120,
CAT_P03,Special occasion,premium,Nage,79325,
CAT_P01,On a budget,affordable,Ni Shifu,78693,
CAT_P03,Special occasion,premium,WILDn,79351,
CAT_P02,A moderate spend,mid-range,InVINcible,78902,
CAT_P03,Special occasion,premium,FRANQ,78907,
CAT_P04,Spare no expense,luxury,Nathan,78731,
CAT_P02,A moderate spend,mid-range,September.,79434,
CAT_P03,Special occasion,premium,De Vijf Seizoenen,79150,
CAT_P02,A moderate spend,mid-range,Arrikiiati,79023,
CAT_P02,A moderate spend,mid-range,Schnitzel,79126,
CAT_P03,Special occasion,premium,Pazzo,79426,
CAT_P03,Special occasion,premium,Rooselaer,78742,
CAT_P03,Special occasion,premium,Món,78960,
CAT_P03,Special occasion,premium,Bistrot du Nord,78834,
CAT_P04,Spare no expense,luxury,Zilte,78833,
CAT_P02,A moderate spend,mid-range,Vis van A,79086,
CAT_P03,Special occasion,premium,Melchior,79134,
CAT_P03,Special occasion,premium,U Eat & Sleep,79006,
CAT_P02,A moderate spend,mid-range,Bistrot L'îlot,78696,
CAT_P04,Spare no expense,luxury,Pont neuf,79201,
CAT_P02,A moderate spend,mid-range,Bar(t)-à-vin,78783,
CAT_P02,A moderate spend,mid-range,De Refugie,78989,
CAT_P03,Special occasion,premium,Upton,79290,
CAT_P02,A moderate spend,mid-range,Bulthaup,79045,
CAT_P01,On a budget,affordable,La Taperia,78913,
CAT_P02,A moderate spend,mid-range,Instroom,78663,
CAT_P03,Special occasion,premium,Le Délice du Jour,79373,
CAT_P03,Special occasion,premium,Het Pomphuis,79127,
CAT_P03,Special occasion,premium,L'Esprit Bouddha,79379,
CAT_P03,Special occasion,premium,Céma Passion,79172,
CAT_P03,Special occasion,premium,Bruun,78626,
CAT_P02,A moderate spend,mid-range,Le Bouton d'Or,79260,
CAT_P03,Special occasion,premium,Ukiyo,78920,
CAT_P04,Spare no expense,luxury,L'Air du Temps,78795,
CAT_P03,Special occasion,premium,La Traverse,78642,
CAT_P03,Special occasion,premium,Le Vieux Château,79071,
CAT_P03,Special occasion,premium,Gustatif,79142,
CAT_P03,Special occasion,premium,De Blauwe Artisjok,78767,
CAT_P03,Special occasion,premium,Casello,79336,
CAT_P03,Special occasion,premium,Chai Gourmand,79383,
CAT_P02,A moderate spend,mid-range,Eddy Vraie,79329,
CAT_P03,Special occasion,premium,Hertebos,78697,
CAT_P02,A moderate spend,mid-range,Brasserie Juste,79186,
CAT_P04,Spare no expense,luxury,Horseele,78634,
CAT_P03,Special occasion,premium,Julienne,78983,
CAT_P03,Special occasion,premium,Quai n°4,78964,
CAT_P03,Special occasion,premium,Talloor d'Or,79399,
CAT_P03,Special occasion,premium,Commotie,78807,
CAT_P03,Special occasion,premium,D'Oude Pastorie,78956,
CAT_P02,A moderate spend,mid-range,Bar Bask,79298,
CAT_P03,Special occasion,premium,Basile,79358,
CAT_P02,A moderate spend,mid-range,Boris & Maurice,79377,
CAT_P03,Special occasion,premium,Souvenir,78672,
CAT_P02,A moderate spend,mid-range,Pot au Feu,78722,
CAT_P03,Special occasion,premium,Lys d'Or,79403,
CAT_P04,Spare no expense,luxury,Vrijmoed,78636,
CAT_P03,Special occasion,premium,Publiek,78674,
CAT_P03,Special occasion,premium,Brabohoeve,78809,
CAT_P03,Special occasion,premium,'t Vlasbloemeken,65792,
CAT_P03,Special occasion,premium,Sensum,79320,
CAT_P02,A moderate spend,mid-range,Amatsu,78673,
CAT_P04,Spare no expense,luxury,Colette - De Vijvers,79312,
CAT_P03,Special occasion,premium,Bistro De Vijvers,79371,
CAT_P02,A moderate spend,mid-range,Le Baan Thaï,79148,
CAT_P02,A moderate spend,mid-range,Heritage,78829,
CAT_P04,Spare no expense,luxury,Château du Mylord,79216,
CAT_P03,Special occasion,premium,Karel De Stoute,78763,
CAT_P02,A moderate spend,mid-range,Nonam,78806,
CAT_P02,A moderate spend,mid-range,Chez Duche,79112,
CAT_P03,Special occasion,premium,Roots,79195,
CAT_P02,A moderate spend,mid-range,Au Tour du Vin,78987,
CAT_P02,A moderate spend,mid-range,Nr.12 by Helsen,79016,
CAT_P03,Special occasion,premium,a food affair,78967,
CAT_P03,Special occasion,premium,DOOR73,79030,
CAT_P04,Spare no expense,luxury,OAK,78778,
CAT_P03,Special occasion,premium,Maste,79062,
CAT_P03,Special occasion,premium,Rizoom,79304,
CAT_P03,Special occasion,premium,l'Essentiel,79387,
CAT_P03,Special occasion,premium,Patyntje,78853,
CAT_P02,A moderate spend,mid-range,Cul de Poule,78930,
CAT_P02,A moderate spend,mid-range,Elders,79429,
CAT_P02,A moderate spend,mid-range,Vilain,79410,
CAT_P03,Special occasion,premium,Les Frères Louise,79363,
CAT_P03,Special occasion,premium,Maxens,78950,
CAT_P02,A moderate spend,mid-range,L'Entretien,79348,
CAT_P03,Special occasion,premium,Brasserie Latem,79070,
CAT_P03,Special occasion,premium,Les Gribaumonts,78804,
CAT_P02,A moderate spend,mid-range,Masu,79013,
CAT_P02,A moderate spend,mid-range,La Table du Boucher,79302,
CAT_P04,Spare no expense,luxury,Benoit en Bernard Dewitte,79133,
CAT_P03,Special occasion,premium,Le Comptoir de Marie,79008,
CAT_P02,A moderate spend,mid-range,Origines,79204,
CAT_P03,Special occasion,premium,Brasserie Boulevard,78725,
CAT_P03,Special occasion,premium,I Ragazzi,79294,
CAT_P02,A moderate spend,mid-range,La Fermette des Pins,79157,
CAT_P03,Special occasion,premium,L'air des Sens,79224,
CAT_P03,Special occasion,premium,L'homard Bizarre,78947,
CAT_P02,A moderate spend,mid-range,Le P'tit Gaby,79200,
CAT_P03,Special occasion,premium,Maison D,78808,
CAT_P03,Special occasion,premium,d'Oude Schuur,78727,
CAT_P02,A moderate spend,mid-range,Le Val d'Heure,78757,
CAT_P03,Special occasion,premium,Deboeveries,79293,
CAT_P03,Special occasion,premium,In den Hert,79209,
CAT_P02,A moderate spend,mid-range,De Vous à Nous,78886,
CAT_P04,Spare no expense,luxury,d'Eugénie à Emilie,79232,
CAT_P02,A moderate spend,mid-range,Le Faitout,78966,
CAT_P03,Special occasion,premium,Baarle 90,79122,
CAT_P03,Special occasion,premium,De Cuylhoeve,79309,
CAT_P03,Special occasion,premium,Julien,79211,
CAT_P02,A moderate spend,mid-range,Racines,79382,
CAT_P02,A moderate spend,mid-range,Les Sens du Goût,78717,
CAT_P03,Special occasion,premium,Pré de chez vous,78631,
CAT_P03,Special occasion,premium,Rascasse,79175,
CAT_P03,Special occasion,premium,Haute Cookure,78990,
CAT_P03,Special occasion,premium,L'Espièglerie,78941,
CAT_P03,Special occasion,premium,Plein 25,79274,
CAT_P02,A moderate spend,mid-range,Brasserie du Quai,78641,
CAT_P02,A moderate spend,mid-range,Les Potes au Feu,78856,
CAT_P02,A moderate spend,mid-range,La table du Royal Snail,79318,
CAT_P02,A moderate spend,mid-range,Michel,78675,
CAT_P02,A moderate spend,mid-range,La Brasserie,78962,
CAT_P03,Special occasion,premium,Vin Saveurs,79361,
CAT_P03,Special occasion,premium,Attablez-vous,78678,
CAT_P04,Spare no expense,luxury,De Pastorie,78750,
CAT_P03,Special occasion,premium,Bachtekerke,79188,
CAT_P02,A moderate spend,mid-range,Fou du Goût,79255,
CAT_P03,Special occasion,premium,Tribeca,79278,
CAT_P03,Special occasion,premium,Auberge l'Entrecôte,78998,
CAT_P03,Special occasion,premium,La Plage d'Amée,78659,
CAT_P03,Special occasion,premium,Blanc by Aytems,79183,
CAT_P02,A moderate spend,mid-range,Coco Pazzo,79132,
CAT_P04,Spare no expense,luxury,Hof van Cleve,78780,
CAT_P04,Spare no expense,luxury,De Stadt van Luijck,78719,
CAT_P02,A moderate spend,mid-range,De Gebrande Winning,78698,
CAT_P02,A moderate spend,mid-range,Ambacht,79254,
CAT_P02,A moderate spend,mid-range,Carré d'Herbes,79330,
CAT_P03,Special occasion,premium,De Fakkels,79083,
CAT_P02,A moderate spend,mid-range,Chez Chen,78831,
CAT_P02,A moderate spend,mid-range,Huize Alberic,79303,
CAT_P02,A moderate spend,mid-range,Epices et Nous,79003,
CAT_P03,Special occasion,premium,Terroir,78934,
CAT_P02,A moderate spend,mid-range,Comptoir de l'Eau Vive,78735,
CAT_P03,Special occasion,premium,Atelier de Bossimé,78839,
CAT_P02,A moderate spend,mid-range,KAN10,79229,
CAT_P03,Special occasion,premium,La Belle,78707,
CAT_P03,Special occasion,premium,Potiron,78999,
CAT_P03,Special occasion,premium,Seir,78874,
CAT_P03,Special occasion,premium,L'Angelo Rosso,78994,
CAT_P02,A moderate spend,mid-range,L'O à la Bouche,79031,
CAT_P02,A moderate spend,mid-range,Bistronoom,79155,
CAT_P02,A moderate spend,mid-range,La Petite Gayole,79146,
CAT_P03,Special occasion,premium,Aurum by Gary Kirchens,79196,
CAT_P02,A moderate spend,mid-range,Auberge des Moules,65613,
CAT_P02,A moderate spend,mid-range,Robuust,79257,
CAT_P02,A moderate spend,mid-range,De Farmasie,78661,
CAT_P02,A moderate spend,mid-range,Le Grand Pré,79346,
CAT_P02,A moderate spend,mid-range,Cœur de Bœuf,78784,
CAT_P03,Special occasion,premium,Les Gourmands,78754,
CAT_P02,A moderate spend,mid-range,La Marelle Café,79378,
CAT_P02,A moderate spend,mid-range,La Cuisine d'un Gourmand,79021,
CAT_P03,Special occasion,premium,Lettres Gourmandes,79043,
CAT_P02,A moderate spend,mid-range,Bistro Berto,78917,
CAT_P04,Spare no expense,luxury,L'Eau Vive,78818,
CAT_P03,Special occasion,premium,Savoury,79081,
CAT_P03,Special occasion,premium,Bachten De Leie,78623,
CAT_P03,Special occasion,premium,Le Petit Axhe,79059,
CAT_P03,Special occasion,premium,Le D'Arville,79422,
CAT_P03,Special occasion,premium,Bouffard,79098,
CAT_P03,Special occasion,premium,L'impératif,78787,
CAT_P02,A moderate spend,mid-range,Den Duyventooren,79011,
CAT_P03,Special occasion,premium,Bink,78922,
CAT_P02,A moderate spend,mid-range,CucinaMarangon,78648,
CAT_P04,Spare no expense,luxury,Hert,79419,
CAT_P02,A moderate spend,mid-range,Amu,79097,
CAT_P03,Special occasion,premium,Bistro Lin’eau,79349,
CAT_P03,Special occasion,premium,Marcus,79430,
CAT_P03,Special occasion,premium,'t Vijfde Seizoen,79119,
CAT_P03,Special occasion,premium,Calla's,79163,
CAT_P02,A moderate spend,mid-range,Rongese,78644,
CAT_P03,Special occasion,premium,Woestyne,78899,
CAT_P03,Special occasion,premium,L'Envie,78889,
CAT_P03,Special occasion,premium,Tafel 10,79191,
CAT_P03,Special occasion,premium,Ogst,79128,
CAT_P03,Special occasion,premium,De Kleine Toren van Baarland,65702,
